creator_id,mod_count,total_subscriptions,avg_subscriptions,median_subscriptions,avg_positive_rate,avg_maintenance_days,tag_breadth
76561198025931302,10,27176956,2717695.60,259200.00,0.973160,1998.40,8
76561198025486794,3,8407082,2802360.67,3719681.00,0.975200,1392.33,8
76561197960431333,2,7775722,3887861.00,3887861.00,0.964350,1961.50,3
76561198023676128,47,5379320,114453.62,7358.00,0.854677,464.81,17
76561198098319132,3,5297235,1765745.00,395545.00,0.974000,2263.67,5
76561197981642997,1,4840025,4840025.00,4840025.00,0.986600,2595.00,3
76561198074442304,16,4595348,287209.25,19915.00,0.960194,187.44,11
76561198247062468,32,3821086,119408.94,1062.00,0.940610,121.81,11
76561198204009267,62,3759803,60641.98,4529.50,0.940627,444.73,15
76561198269382494,12,3670513,305876.08,21308.00,0.974783,2063.00,8
76561198027077262,6,3560682,593447.00,39328.50,0.817233,691.33,7
76561197989646930,21,3478026,165620.29,94516.00,0.951733,612.43,16
76561198049829886,1,3438942,3438942.00,3438942.00,0.974300,486.00,4
76561199020997345,14,3246977,231926.93,1572.50,0.831544,698.71,3
76561197982211173,15,2963625,197575.00,11340.00,0.922779,1410.20,7
76561198129477988,2,2877060,1438530.00,1438530.00,0.973050,2435.00,4
76561198137380697,32,2731494,85359.19,1654.50,0.913794,274.59,18
76561198111246140,7,2707230,386747.14,247087.00,0.931771,354.57,9
76561198076228231,5,2451174,490234.80,239615.00,0.968280,1192.20,5
76561198046032840,53,2406841,45412.09,30574.00,0.942936,402.75,13
76561198850858081,2,2257090,1128545.00,1128545.00,0.938550,2137.00,5
76561198066992329,6,2149542,358257.00,29656.00,0.960633,414.17,8
76561198032277590,9,2108150,234238.89,19106.00,0.966078,478.22,2
76561198025317013,1,2080822,2080822.00,2080822.00,0.972400,248.00,6
76561198119787855,1,2014178,2014178.00,2014178.00,0.982100,4.00,4
76561198078635366,8,1669738,208717.25,90774.50,0.900988,875.13,16
76561198041015229,9,1569838,174426.44,23781.00,0.958367,1869.33,14
76561198038824153,3,1560280,520093.33,38169.00,0.967400,671.00,7
76561198234454040,16,1534159,95884.94,6552.00,0.893163,946.63,11
76561198000918841,3,1527267,509089.00,2058.00,0.966300,1999.67,4
76561198039805936,4,1523322,380830.50,30705.50,0.927650,29.00,5
76561198073898182,12,1390482,115873.50,3963.50,0.915825,468.67,16
76561199215627702,13,1365527,105040.54,52473.00,0.982631,413.00,5
76561198311311669,8,1345663,168207.88,1796.50,0.954025,445.13,11
76561199124144879,3,1285079,428359.67,446208.00,0.959367,1841.00,3
76561198174493482,1,1197606,1197606.00,1197606.00,0.975900,2123.00,5
76561198129896255,6,1195175,199195.83,145571.00,0.977817,1941.50,6
76561198277438128,3,1174737,391579.00,143.00,0.994233,629.67,8
76561197972487188,1,1154662,1154662.00,1154662.00,0.982600,3.00,8
76561198000743404,13,1102321,84793.92,74659.00,0.960769,136.38,5
76561198175394114,8,1054962,131870.25,17148.00,0.909213,656.13,9
76561197995674894,1,1008345,1008345.00,1008345.00,0.977900,2023.00,3
76561198162990845,6,998013,166335.50,156478.50,0.958500,743.00,2
76561198092843751,22,991131,45051.41,36302.00,0.947255,932.27,6
76561198405448255,4,985334,246333.50,82706.00,0.975625,837.75,5
76561198817463174,13,973657,74896.69,11040.00,0.968508,386.77,10
76561198326489103,1,956244,956244.00,956244.00,0.979000,2396.00,4
76561198029173411,4,932782,233195.50,53674.50,0.935750,601.25,7
76561198039069920,27,927199,34340.70,6382.00,0.919467,85.67,12
76561198046734376,2,902179,451089.50,451089.50,0.945950,1.00,4
76561198423073837,4,876114,219028.50,12908.00,0.963375,537.75,3
76561198051415780,20,860435,43021.75,2142.00,0.953200,248.35,19
76561198282995459,24,831805,34658.54,20875.50,0.916400,206.17,9
76561198333772442,1,828709,828709.00,828709.00,0.951400,0.00,4
76561198426806125,30,826554,27551.80,1937.00,0.921600,125.53,9
76561199022368235,17,815669,47980.53,6976.00,0.924224,565.41,7
76561198416857662,1,797161,797161.00,797161.00,0.972800,1792.00,4
76561198020318078,30,773664,25788.80,8066.00,0.945030,1168.47,15
76561198387636532,9,758915,84323.89,20897.00,0.958456,1361.78,9
76561197971903310,16,750935,46933.44,5401.00,0.917288,158.88,13
76561198246008860,1,721926,721926.00,721926.00,0.984500,2823.00,10
76561197991794850,8,698599,87324.88,14582.00,0.962263,406.00,8
76561198291045782,4,694933,173733.25,17275.50,0.966675,852.50,3
76561198053787151,8,676455,84556.88,1547.50,0.919025,336.63,7
76561198161551641,1,675554,675554.00,675554.00,0.970600,354.00,5
