token,top_100_comment_count,rank_300_500_comment_count,top_100_comments_per_1000,rank_300_500_comments_per_1000,comments_per_1000_diff,rate_ratio,dominant_group
character,21,206,6.2,41.74,-35.54,0.1486,rank_300_500
make,92,292,27.18,59.17,-31.99,0.4593,rank_300_500
like,134,341,39.59,69.1,-29.51,0.5729,rank_300_500
work,273,265,80.65,53.7,26.95,1.5019,top_100
love,68,214,20.09,43.36,-23.28,0.4633,rank_300_500
crashes,130,82,38.4,16.62,21.79,2.3113,top_100
sanity,6,107,1.77,21.68,-19.91,0.0818,rank_300_500
good,196,200,57.9,40.53,17.38,1.4287,top_100
i'm,54,160,15.95,32.42,-16.47,0.492,rank_300_500
crash,136,120,40.18,24.32,15.86,1.6523,top_100
server,132,115,39.0,23.3,15.69,1.6734,top_100
other,67,171,19.79,34.65,-14.86,0.5712,rank_300_500
bug,112,231,33.09,46.81,-13.72,0.7069,rank_300_500
characters,10,78,2.95,15.81,-12.85,0.1869,rank_300_500
think,44,127,13.0,25.73,-12.74,0.5051,rank_300_500
cool,21,91,6.2,18.44,-12.24,0.3364,rank_300_500
show,66,38,19.5,7.7,11.8,2.5321,top_100
funciona,43,6,12.7,1.22,11.49,10.4483,top_100
thanks,102,205,30.13,41.54,-11.41,0.7254,rank_300_500
she,3,59,0.89,11.96,-11.07,0.0741,rank_300_500
chester,49,17,14.48,3.44,11.03,4.2022,top_100
working,97,90,28.66,18.24,10.42,1.5713,top_100
time,73,155,21.57,31.41,-9.84,0.6866,rank_300_500
up,70,150,20.68,30.4,-9.72,0.6804,rank_300_500
it's,110,208,32.5,42.15,-9.65,0.771,rank_300_500
lua,88,82,26.0,16.62,9.38,1.5646,top_100
much,63,138,18.61,27.96,-9.35,0.6656,rank_300_500
where,33,93,9.75,18.84,-9.1,0.5173,rank_300_500
should,38,100,11.23,20.26,-9.04,0.554,rank_300_500
english,14,65,4.14,13.17,-9.04,0.314,rank_300_500
sure,21,75,6.2,15.2,-8.99,0.4082,rank_300_500
i'll,8,56,2.36,11.35,-8.98,0.2083,rank_300_500
shift,34,6,10.04,1.22,8.83,8.2614,top_100
great,69,144,20.38,29.18,-8.8,0.6986,rank_300_500
doesn't,99,101,29.25,20.47,8.78,1.429,top_100
inactive,29,0,8.57,0.0,8.57,,top_100
afk,0,42,0.0,8.51,-8.51,0.0,rank_300_500
translation,8,52,2.36,10.54,-8.17,0.2243,rank_300_500
little,7,50,2.07,10.13,-8.06,0.2041,rank_300_500
com,73,146,21.57,29.58,-8.02,0.729,rank_300_500
person,36,13,10.64,2.63,8.0,4.0373,top_100
night,6,48,1.77,9.73,-7.95,0.1822,rank_300_500
stack,55,41,16.25,8.31,7.94,1.9557,top_100
something,37,92,10.93,18.64,-7.71,0.5863,rank_300_500
want,48,108,14.18,21.88,-7.7,0.648,rank_300_500
maybe,24,73,7.09,14.79,-7.7,0.4793,rank_300_500
cute,0,38,0.0,7.7,-7.7,0.0,rank_300_500
play,35,89,10.34,18.03,-7.69,0.5733,rank_300_500
hunger,5,45,1.48,9.12,-7.64,0.162,rank_300_500
hp,1,39,0.3,7.9,-7.61,0.0374,rank_300_500
broken,42,24,12.41,4.86,7.54,2.5513,top_100
see,59,123,17.43,24.92,-7.49,0.6993,rank_300_500
map,44,28,13.0,5.67,7.32,2.291,top_100
again,24,71,7.09,14.39,-7.3,0.4928,rank_300_500
put,18,62,5.32,12.56,-7.25,0.4233,rank_300_500
thank,112,199,33.09,40.32,-7.24,0.8205,rank_300_500
add,86,161,25.41,32.62,-7.22,0.7788,rank_300_500
health,19,62,5.61,12.56,-6.95,0.4468,rank_300_500
can't,65,129,19.2,26.14,-6.94,0.7346,rank_300_500
log,15,56,4.43,11.35,-6.92,0.3905,rank_300_500
useful,45,32,13.29,6.48,6.81,2.0502,top_100
awesome,14,54,4.14,10.94,-6.81,0.378,rank_300_500
hi,17,58,5.02,11.75,-6.73,0.4273,rank_300_500
light,5,40,1.48,8.11,-6.63,0.1822,rank_300_500
attack,8,44,2.36,8.92,-6.55,0.2651,rank_300_500
fun,6,41,1.77,8.31,-6.54,0.2134,rank_300_500
mean,6,41,1.77,8.31,-6.54,0.2134,rank_300_500
chara,0,32,0.0,6.48,-6.48,0.0,rank_300_500
http,5,39,1.48,7.9,-6.43,0.1869,rank_300_500
file,16,55,4.73,11.14,-6.42,0.4241,rank_300_500
meat,3,36,0.89,7.29,-6.41,0.1215,rank_300_500
bom,40,27,11.82,5.47,6.35,2.1599,top_100
two,8,43,2.36,8.71,-6.35,0.2712,rank_300_500
need,50,104,14.77,21.07,-6.3,0.7009,rank_300_500
already,22,63,6.5,12.77,-6.27,0.5091,rank_300_500
works,87,96,25.7,19.45,6.25,1.3212,top_100
making,21,61,6.2,12.36,-6.16,0.5019,rank_300_500
you're,15,52,4.43,10.54,-6.11,0.4205,rank_300_500
winter,4,36,1.18,7.29,-6.11,0.162,rank_300_500
de,43,33,12.7,6.69,6.02,1.8997,top_100
spider,2,32,0.59,6.48,-5.89,0.0911,rank_300_500
frisk,0,29,0.0,5.88,-5.88,0.0,rank_300_500
fixed,33,77,9.75,15.6,-5.85,0.6248,rank_300_500
know,76,139,22.45,28.17,-5.71,0.7971,rank_300_500
first,15,50,4.43,10.13,-5.7,0.4374,rank_300_500
options,9,41,2.66,8.31,-5.65,0.32,rank_300_500
die,7,38,2.07,7.7,-5.63,0.2686,rank_300_500
thx,10,42,2.95,8.51,-5.56,0.3471,rank_300_500
able,21,58,6.2,11.75,-5.55,0.5279,rank_300_500
though,19,55,5.61,11.14,-5.53,0.5036,rank_300_500
error,70,75,20.68,15.2,5.48,1.3607,top_100
feel,7,37,2.07,7.5,-5.43,0.2758,rank_300_500
job,5,34,1.48,6.89,-5.41,0.2144,rank_300_500
red,3,31,0.89,6.28,-5.4,0.1411,rank_300_500
give,17,51,5.02,10.33,-5.31,0.486,rank_300_500
pastebin,4,32,1.18,6.48,-5.3,0.1822,rank_300_500
modmain,35,25,10.34,5.07,5.27,2.0411,top_100
sword,0,26,0.0,5.27,-5.27,0.0,rank_300_500
set,22,58,6.5,11.75,-5.25,0.553,rank_300_500
faster,5,33,1.48,6.69,-5.21,0.2209,rank_300_500
hey,14,46,4.14,9.32,-5.19,0.4437,rank_300_500
thing,19,53,5.61,10.74,-5.13,0.5226,rank_300_500
however,8,37,2.36,7.5,-5.13,0.3152,rank_300_500
op,8,37,2.36,7.5,-5.13,0.3152,rank_300_500
amazing,17,50,5.02,10.13,-5.11,0.4957,rank_300_500
cage,0,25,0.0,5.07,-5.07,0.0,rank_300_500
lot,18,51,5.32,10.33,-5.02,0.5146,rank_300_500
i've,25,61,7.39,12.36,-4.98,0.5975,rank_300_500
eat,1,26,0.3,5.27,-4.97,0.0561,rank_300_500
helpful,25,12,7.39,2.43,4.95,3.0373,top_100
island,8,36,2.36,7.29,-4.93,0.324,rank_300_500
speed,6,33,1.77,6.69,-4.91,0.2651,rank_300_500
pls,28,65,8.27,13.17,-4.9,0.628,rank_300_500
el,20,5,5.91,1.01,4.9,5.8316,top_100
go,24,59,7.09,11.96,-4.87,0.593,rank_300_500
pretty,13,43,3.84,8.71,-4.87,0.4408,rank_300_500
spoilage,0,24,0.0,4.86,-4.86,0.0,rank_300_500
oh,9,37,2.66,7.5,-4.84,0.3546,rank_300_500
top,26,14,7.68,2.84,4.84,2.7075,top_100
yes,18,50,5.32,10.13,-4.81,0.5248,rank_300_500
life,5,31,1.48,6.28,-4.8,0.2351,rank_300_500
don't,110,184,32.5,37.28,-4.79,0.8716,rank_300_500
using,51,98,15.07,19.86,-4.79,0.7587,rank_300_500
version,67,121,19.79,24.52,-4.73,0.8073,rank_300_500
never,11,39,3.25,7.9,-4.65,0.4112,rank_300_500
day,16,46,4.73,9.32,-4.59,0.5071,rank_300_500
detailed,23,11,6.79,2.23,4.57,3.0483,top_100
skill,8,34,2.36,6.89,-4.53,0.343,rank_300_500
skin,4,28,1.18,5.67,-4.49,0.2083,rank_300_500
icon,22,10,6.5,2.03,4.47,3.2074,top_100
gun,0,22,0.0,4.46,-4.46,0.0,rank_300_500
txt,0,22,0.0,4.46,-4.46,0.0,rank_300_500
take,68,121,20.09,24.52,-4.43,0.8193,rank_300_500
second,7,32,2.07,6.48,-4.42,0.3189,rank_300_500
even,51,96,15.07,19.45,-4.39,0.7745,rank_300_500
link,12,39,3.55,7.9,-4.36,0.4486,rank_300_500
change,45,87,13.29,17.63,-4.34,0.7541,rank_300_500
author,38,34,11.23,6.89,4.34,1.6294,top_100
hud,8,33,2.36,6.69,-4.32,0.3534,rank_300_500
stop,8,33,2.36,6.69,-4.32,0.3534,rank_300_500
during,6,30,1.77,6.08,-4.31,0.2916,rank_300_500
monster,4,27,1.18,5.47,-4.29,0.216,rank_300_500
looks,15,43,4.43,8.71,-4.28,0.5086,rank_300_500
rick,0,21,0.0,4.26,-4.26,0.0,rank_300_500
bit,18,47,5.32,9.52,-4.21,0.5583,rank_300_500
cook,17,4,5.02,0.81,4.21,6.1961,top_100
mobs,21,10,6.2,2.03,4.18,3.0616,top_100
option,36,73,10.64,14.79,-4.16,0.719,rank_300_500
nil,38,35,11.23,7.09,4.13,1.5829,top_100
damage,17,45,5.02,9.12,-4.1,0.5508,rank_300_500
kinda,2,23,0.59,4.66,-4.07,0.1268,rank_300_500
method,35,31,10.34,6.28,4.06,1.646,top_100
years,24,15,7.09,3.04,4.05,2.3326,top_100
drain,0,20,0.0,4.05,-4.05,0.0,rank_300_500
makes,22,52,6.5,10.54,-4.04,0.6168,rank_300_500
craft,16,43,4.73,8.71,-3.99,0.5425,rank_300_500
actually,14,40,4.14,8.11,-3.97,0.5103,rank_300_500
idea,14,40,4.14,8.11,-3.97,0.5103,rank_300_500
art,1,21,0.3,4.26,-3.96,0.0694,rank_300_500
eyes,1,21,0.3,4.26,-3.96,0.0694,rank_300_500
players,12,37,3.55,7.5,-3.95,0.4728,rank_300_500
minimap,16,4,4.73,0.81,3.92,5.8316,top_100
size,16,4,4.73,0.81,3.92,5.8316,top_100
made,55,61,16.25,12.36,3.89,1.3145,top_100
boss,15,41,4.43,8.31,-3.88,0.5334,rank_300_500
anime,0,19,0.0,3.85,-3.85,0.0,rank_300_500
ghost,0,19,0.0,3.85,-3.85,0.0,rank_300_500
gir,0,19,0.0,3.85,-3.85,0.0,rank_300_500
vision,0,19,0.0,3.85,-3.85,0.0,rank_300_500
won't,37,35,10.93,7.09,3.84,1.5412,top_100
i'd,11,35,3.25,7.09,-3.84,0.4582,rank_300_500
stackable,13,0,3.84,0.0,3.84,,top_100
done,7,29,2.07,5.88,-3.81,0.3519,rank_300_500
xd,7,29,2.07,5.88,-3.81,0.3519,rank_300_500
drop,14,39,4.14,7.9,-3.77,0.5233,rank_300_500
played,3,23,0.89,4.66,-3.77,0.1902,rank_300_500
click,34,31,10.04,6.28,3.76,1.599,top_100
level,1,20,0.3,4.05,-3.76,0.0729,rank_300_500
scripts,49,53,14.48,10.74,3.74,1.3479,top_100
configuration,8,30,2.36,6.08,-3.72,0.3888,rank_300_500
en,16,5,4.73,1.01,3.71,4.6653,top_100
others,6,27,1.77,5.47,-3.7,0.324,rank_300_500
someone,17,43,5.02,8.71,-3.69,0.5764,rank_300_500
enjoy,4,24,1.18,4.86,-3.68,0.243,rank_300_500
reply,4,24,1.18,4.86,-3.68,0.243,rank_300_500
stuff,13,37,3.84,7.5,-3.66,0.5122,rank_300_500
black,2,21,0.59,4.26,-3.66,0.1388,rank_300_500
dog,0,18,0.0,3.65,-3.65,0.0,rank_300_500
replica,13,1,3.84,0.2,3.64,18.9527,top_100
local,26,20,7.68,4.05,3.63,1.8953,top_100
hope,29,60,8.57,12.16,-3.59,0.7047,rank_300_500
patch,5,25,1.48,5.07,-3.59,0.2916,rank_300_500
normal,16,41,4.73,8.31,-3.58,0.5689,rank_300_500
causes,21,13,6.2,2.63,3.57,2.3551,top_100
dark,3,22,0.89,4.46,-3.57,0.1988,rank_300_500
