token,top_100_comment_count,rank_300_500_comment_count,top_100_comments_per_1000,rank_300_500_comments_per_1000,comments_per_1000_diff,rate_ratio,dominant_group
make,90,334,26.44,65.7,-39.26,0.4025,rank_300_500
like,122,371,35.84,72.97,-37.13,0.4911,rank_300_500
character,21,193,6.17,37.96,-31.79,0.1625,rank_300_500
love,66,222,19.39,43.67,-24.28,0.444,rank_300_500
sanity,6,110,1.76,21.64,-19.87,0.0815,rank_300_500
she,3,95,0.88,18.69,-17.8,0.0472,rank_300_500
think,43,142,12.63,27.93,-15.3,0.4523,rank_300_500
great,69,173,20.27,34.03,-13.76,0.5957,rank_300_500
i'm,52,147,15.28,28.91,-13.64,0.5283,rank_300_500
cool,21,99,6.17,19.47,-13.3,0.3168,rank_300_500
thanks,101,215,29.67,42.29,-12.62,0.7016,rank_300_500
take,65,159,19.1,31.27,-12.18,0.6106,rank_300_500
characters,9,75,2.64,14.75,-12.11,0.1792,rank_300_500
should,39,119,11.46,23.41,-11.95,0.4895,rank_300_500
up,66,157,19.39,30.88,-11.49,0.6279,rank_300_500
other,69,161,20.27,31.67,-11.4,0.6401,rank_300_500
night,6,62,1.76,12.2,-10.43,0.1445,rank_300_500
time,70,156,20.56,30.68,-10.12,0.6702,rank_300_500
i'll,8,63,2.35,12.39,-10.04,0.1897,rank_300_500
add,77,166,22.62,32.65,-10.03,0.6928,rank_300_500
much,61,142,17.92,27.93,-10.01,0.6416,rank_300_500
maybe,25,86,7.34,16.92,-9.57,0.4342,rank_300_500
bug,115,219,33.78,43.08,-9.29,0.7843,rank_300_500
it's,104,202,30.55,39.73,-9.18,0.7689,rank_300_500
sure,20,76,5.88,14.95,-9.07,0.393,rank_300_500
