token,top_100_comment_count,rank_300_500_comment_count,top_100_comments_per_1000,rank_300_500_comments_per_1000,comments_per_1000_diff,rate_ratio,dominant_group
work,273,279,80.2,54.88,25.32,1.4614,top_100
crash,138,110,40.54,21.64,18.9,1.8737,top_100
good,197,213,57.87,41.9,15.98,1.3813,top_100
crashes,130,113,38.19,22.23,15.96,1.7182,top_100
server,136,124,39.95,24.39,15.56,1.6381,top_100
lua,94,65,27.61,12.79,14.83,2.1599,top_100
working,99,86,29.08,16.92,12.17,1.7193,top_100
error,76,56,22.33,11.01,11.31,2.0269,top_100
funciona,42,6,12.34,1.18,11.16,10.4548,top_100
chester,48,15,14.1,2.95,11.15,4.7793,top_100
stack,57,30,16.75,5.9,10.84,2.8377,top_100
show,62,40,18.21,7.87,10.35,2.315,top_100
doesn't,99,102,29.08,20.06,9.02,1.4496,top_100
shift,34,5,9.99,0.98,9.0,10.1561,top_100
scripts,54,37,15.86,7.28,8.59,2.1798,top_100
inactive,29,0,8.52,0.0,8.52,,top_100
nil,41,25,12.04,4.92,7.13,2.4494,top_100
person,35,16,10.28,3.15,7.13,3.2671,top_100
useful,44,30,12.93,5.9,7.03,2.1905,top_100
method,38,22,11.16,4.33,6.84,2.5797,top_100
attempt,40,26,11.75,5.11,6.64,2.2977,top_100
bom,38,24,11.16,4.72,6.44,2.3648,top_100
update,179,235,52.59,46.22,6.36,1.1376,top_100
de,41,29,12.04,5.7,6.34,2.1116,top_100
broken,38,25,11.16,4.92,6.25,2.2702,top_100
