tag,mod_count,avg_subscriptions,tag_rank_by_mod_count,wordcloud_weight
all_clients_require_mod,17928,9173.29,1,17928
character,7287,7035.29,2,7287
item,5287,11482.79,3,5287
tweak,3811,25195.93,4,3811
other,3606,18445.76,5,3606
client_only_mod,2843,29219.48,6,2843
utility,2653,43270.02,7,2653
art,2519,14673.41,8,2519
server_only_mod,1893,11316.3,9,1893
environment,1466,23335.0,10,1466
creature,1439,16421.16,11,1439
interface,1419,82509.97,12,1419
server_admin,925,16177.24,13,925
pet,654,14118.38,14,654
worldgen,609,18500.25,15,609
language,508,36482.09,16,508
scenario,464,19334.41,17,464
tutorial,317,23765.69,18,317
reign of giants compatible,203,21933.31,19,203
harmful effects,1,12902.0,20,1
helpful effects,1,12902.0,21,1
neutral effects,1,12902.0,22,1
