creator_id,mod_count,total_subscriptions,avg_subscriptions,median_subscriptions,avg_positive_rate,avg_maintenance_days,tag_breadth,author_rank,productivity_bucket,share_of_total_subscriptions_pct,cumulative_subscriptions,cumulative_share_pct,concentration_band
76561198025931302,10,27176956,2717695.6,259200.0,0.97316,1998.4,8,1,10+,9.9462,27176956,9.9462,top_10
76561198025486794,3,8407082,2802360.67,3719681.0,0.9752,1392.33,8,2,2-3,3.0768,35584038,13.023,top_10
76561197960431333,2,7775722,3887861.0,3887861.0,0.96435,1961.5,3,3,2-3,2.8458,43359760,15.8688,top_10
76561198023676128,47,5379320,114453.62,7358.0,0.854677,464.81,17,4,10+,1.9687,48739080,17.8375,top_10
76561198098319132,3,5297235,1765745.0,395545.0,0.974,2263.67,5,5,2-3,1.9387,54036315,19.7762,top_10
76561197981642997,1,4840025,4840025.0,4840025.0,0.9866,2595.0,3,6,1,1.7714,58876340,21.5475,top_10
76561198074442304,16,4595348,287209.25,19915.0,0.960194,187.44,11,7,10+,1.6818,63471688,23.2294,top_10
76561198247062468,32,3821086,119408.94,1062.0,0.94061,121.81,11,8,10+,1.3984,67292774,24.6278,top_10
76561198204009267,62,3759803,60641.98,4529.5,0.940627,444.73,15,9,10+,1.376,71052577,26.0038,top_10
76561198269382494,12,3670513,305876.08,21308.0,0.974783,2063.0,8,10,10+,1.3433,74723090,27.3471,top_10
76561198027077262,6,3560682,593447.0,39328.5,0.817233,691.33,7,11,4-9,1.3031,78283772,28.6503,top_1pct_other
76561197989646930,21,3478026,165620.29,94516.0,0.951733,612.43,16,12,10+,1.2729,81761798,29.9232,top_1pct_other
76561198049829886,1,3438942,3438942.0,3438942.0,0.9743,486.0,4,13,1,1.2586,85200740,31.1817,top_1pct_other
76561199020997345,14,3246977,231926.93,1572.5,0.831544,698.71,3,14,10+,1.1883,88447717,32.3701,top_1pct_other
76561197982211173,15,2963625,197575.0,11340.0,0.922779,1410.2,7,15,10+,1.0846,91411342,33.4547,top_1pct_other
76561198129477988,2,2877060,1438530.0,1438530.0,0.97305,2435.0,4,16,2-3,1.0529,94288402,34.5076,top_1pct_other
76561198137380697,32,2731494,85359.19,1654.5,0.913794,274.59,18,17,10+,0.9997,97019896,35.5073,top_1pct_other
76561198111246140,7,2707230,386747.14,247087.0,0.931771,354.57,9,18,4-9,0.9908,99727126,36.4981,top_1pct_other
76561198076228231,5,2451174,490234.8,239615.0,0.96828,1192.2,5,19,4-9,0.8971,102178300,37.3952,top_1pct_other
76561198046032840,53,2406841,45412.09,30574.0,0.942936,402.75,13,20,10+,0.8809,104585141,38.276,top_1pct_other
