creator_id,mod_count,total_subscriptions,avg_subscriptions,median_subscriptions,avg_positive_rate,avg_maintenance_days,tag_breadth,author_rank,productivity_bucket,share_of_total_subscriptions_pct,cumulative_subscriptions,cumulative_share_pct,concentration_band
76561198025931302,10,27176956,2717695.6,259200.0,0.97316,1998.4,8,1,10+,9.9462,27176956,9.9462,top_10
76561198025486794,3,8407082,2802360.67,3719681.0,0.9752,1392.33,8,2,2-3,3.0768,35584038,13.023,top_10
76561197960431333,2,7775722,3887861.0,3887861.0,0.96435,1961.5,3,3,2-3,2.8458,43359760,15.8688,top_10
76561198023676128,47,5379320,114453.62,7358.0,0.854677,464.81,17,4,10+,1.9687,48739080,17.8375,top_10
76561198098319132,3,5297235,1765745.0,395545.0,0.974,2263.67,5,5,2-3,1.9387,54036315,19.7762,top_10
76561197981642997,1,4840025,4840025.0,4840025.0,0.9866,2595.0,3,6,1,1.7714,58876340,21.5475,top_10
76561198074442304,16,4595348,287209.25,19915.0,0.960194,187.44,11,7,10+,1.6818,63471688,23.2294,top_10
76561198247062468,32,3821086,119408.94,1062.0,0.94061,121.81,11,8,10+,1.3984,67292774,24.6278,top_10
76561198204009267,62,3759803,60641.98,4529.5,0.940627,444.73,15,9,10+,1.376,71052577,26.0038,top_10
76561198269382494,12,3670513,305876.08,21308.0,0.974783,2063.0,8,10,10+,1.3433,74723090,27.3471,top_10
76561198027077262,6,3560682,593447.0,39328.5,0.817233,691.33,7,11,4-9,1.3031,78283772,28.6503,top_1pct_other
76561197989646930,21,3478026,165620.29,94516.0,0.951733,612.43,16,12,10+,1.2729,81761798,29.9232,top_1pct_other
76561198049829886,1,3438942,3438942.0,3438942.0,0.9743,486.0,4,13,1,1.2586,85200740,31.1817,top_1pct_other
76561199020997345,14,3246977,231926.93,1572.5,0.831544,698.71,3,14,10+,1.1883,88447717,32.3701,top_1pct_other
76561197982211173,15,2963625,197575.0,11340.0,0.922779,1410.2,7,15,10+,1.0846,91411342,33.4547,top_1pct_other
76561198129477988,2,2877060,1438530.0,1438530.0,0.97305,2435.0,4,16,2-3,1.0529,94288402,34.5076,top_1pct_other
76561198137380697,32,2731494,85359.19,1654.5,0.913794,274.59,18,17,10+,0.9997,97019896,35.5073,top_1pct_other
76561198111246140,7,2707230,386747.14,247087.0,0.931771,354.57,9,18,4-9,0.9908,99727126,36.4981,top_1pct_other
76561198076228231,5,2451174,490234.8,239615.0,0.96828,1192.2,5,19,4-9,0.8971,102178300,37.3952,top_1pct_other
76561198046032840,53,2406841,45412.09,30574.0,0.942936,402.75,13,20,10+,0.8809,104585141,38.276,top_1pct_other
76561198850858081,2,2257090,1128545.0,1128545.0,0.93855,2137.0,5,21,2-3,0.826,106842231,39.1021,top_1pct_other
76561198066992329,6,2149542,358257.0,29656.0,0.960633,414.17,8,22,4-9,0.7867,108991773,39.8888,top_1pct_other
76561198032277590,9,2108150,234238.89,19106.0,0.966078,478.22,2,23,4-9,0.7715,111099923,40.6603,top_1pct_other
76561198025317013,1,2080822,2080822.0,2080822.0,0.9724,248.0,6,24,1,0.7615,113180745,41.4219,top_1pct_other
76561198119787855,1,2014178,2014178.0,2014178.0,0.9821,4.0,4,25,1,0.7371,115194923,42.159,top_1pct_other
76561198078635366,8,1669738,208717.25,90774.5,0.900988,875.13,16,26,4-9,0.6111,116864661,42.7701,top_1pct_other
76561198041015229,9,1569838,174426.44,23781.0,0.958367,1869.33,14,27,4-9,0.5745,118434499,43.3446,top_1pct_other
76561198038824153,3,1560280,520093.33,38169.0,0.9674,671.0,7,28,2-3,0.571,119994779,43.9157,top_1pct_other
76561198234454040,16,1534159,95884.94,6552.0,0.893163,946.63,11,29,10+,0.5615,121528938,44.4771,top_1pct_other
76561198000918841,3,1527267,509089.0,2058.0,0.9663,1999.67,4,30,2-3,0.5589,123056205,45.0361,top_1pct_other
76561198039805936,4,1523322,380830.5,30705.5,0.92765,29.0,5,31,4-9,0.5575,124579527,45.5936,top_1pct_other
76561198073898182,12,1390482,115873.5,3963.5,0.915825,468.67,16,32,10+,0.5089,125970009,46.1025,top_1pct_other
76561199215627702,13,1365527,105040.54,52473.0,0.982631,413.0,5,33,10+,0.4998,127335536,46.6022,top_1pct_other
76561198311311669,8,1345663,168207.88,1796.5,0.954025,445.13,11,34,4-9,0.4925,128681199,47.0947,top_1pct_other
76561199124144879,3,1285079,428359.67,446208.0,0.959367,1841.0,3,35,2-3,0.4703,129966278,47.565,top_1pct_other
76561198174493482,1,1197606,1197606.0,1197606.0,0.9759,2123.0,5,36,1,0.4383,131163884,48.0033,top_1pct_other
76561198129896255,6,1195175,199195.83,145571.0,0.977817,1941.5,6,37,4-9,0.4374,132359059,48.4407,top_1pct_other
76561198277438128,3,1174737,391579.0,143.0,0.994233,629.67,8,38,2-3,0.4299,133533796,48.8707,top_1pct_other
76561197972487188,1,1154662,1154662.0,1154662.0,0.9826,3.0,8,39,1,0.4226,134688458,49.2932,top_1pct_other
