mod_id,title,creator_id,subscriptions,votes_up,votes_down,score,positive_rate,time_created_utc,time_updated_utc,maintenance_days,days_since_last_update,subscription_median,maintenance_median,quadrant,quadrant_label
376333686,Combined Status,76561198025931302,9627650,84412,749,0.9906287789,0.9912,2015-01-17T06:30:56,2026-04-18T17:58:59,4109,9,226.0,1.0,evergreen,Evergreen
378160973,Global Positions,76561198025931302,7965867,50927,742,0.9847012758,0.9856,2015-01-19T22:59:46,2026-04-19T18:45:58,4108,8,226.0,1.0,evergreen,Evergreen
345692228,Minimap HUD,76561197960431333,7854704,53014,652,0.9869434237,0.9879,2014-11-23T08:38:18,2022-07-12T23:06:48,2788,1385,226.0,1.0,evergreen,Evergreen
351325790,Geometric Placement,76561198025931302,6992634,47263,589,0.9866741896,0.9877,2014-12-05T07:22:01,2023-08-02T05:36:22,3162,999,226.0,1.0,evergreen,Evergreen
727774324,"Craft Pot [DS, ROG, SW, DST]",76561197981642997,4924964,28734,393,0.9848427773,0.9865,2016-07-19T21:24:11,2023-08-27T17:40:31,2595,974,226.0,1.0,evergreen,Evergreen
1207269058,Simple Health Bar DST,76561198098319132,4732808,32887,531,0.9826660156,0.9841,2017-11-21T15:13:28,2022-09-17T14:25:52,1761,1318,226.0,1.0,evergreen,Evergreen
375859599,Health Info,76561198025486794,4585541,28894,516,0.9808200598,0.9825,2015-01-16T13:38:46,2025-03-21T00:06:13,3717,402,226.0,1.0,evergreen,Evergreen
375850593,Extra Equip Slots,76561198025486794,3751516,22470,692,0.9681024551,0.9701,2015-01-16T13:17:28,2016-04-20T19:39:29,460,3659,226.0,1.0,evergreen,Evergreen
347079953,Display Food Values,76561198049829886,3451456,19514,520,0.9716897011,0.974,2014-11-26T16:05:52,2016-03-26T09:07:05,486,3684,226.0,1.0,evergreen,Evergreen
362175979,Wormhole Marks [DST],76561198027077262,3325394,18491,381,0.9772822857,0.9798,2014-12-25T14:52:59,2016-02-01T11:55:10,403,3738,226.0,1.0,evergreen,Evergreen
1185229307,Epic Healthbar,76561198269382494,3205052,20629,310,0.982888937,0.9852,2017-10-29T21:17:34,2025-07-29T12:56:40,2830,272,226.0,1.0,evergreen,Evergreen
666155465,Show Me (Origin),76561198023676128,3017034,22792,430,0.9794185758,0.9815,2016-04-15T20:31:10,2022-01-08T03:05:20,2094,1570,226.0,1.0,evergreen,Evergreen
367546858,Chinese Language Pack,76561198129477988,2675599,21637,437,0.9780373573,0.9802,2015-01-02T08:23:31,2025-12-28T05:48:47,4013,120,226.0,1.0,evergreen,Evergreen
