token,top_100_comment_count,rank_300_500_comment_count,top_100_comments_per_1000,rank_300_500_comments_per_1000,comments_per_1000_diff,rate_ratio,dominant_group
good,82,70,79.23,38.59,40.64,2.0531,top_100
bug,63,44,60.87,24.26,36.61,2.5095,top_100
make,28,110,27.05,60.64,-33.59,0.4461,rank_300_500
like,41,132,39.61,72.77,-33.15,0.5444,rank_300_500
drop,3,57,2.9,31.42,-28.52,0.0922,rank_300_500
she,1,43,0.97,23.7,-22.74,0.0408,rank_300_500
marble,0,39,0.0,21.5,-21.5,0.0,rank_300_500
time,19,72,18.36,39.69,-21.33,0.4625,rank_300_500
show,26,7,25.12,3.86,21.26,6.5099,top_100
character,11,51,10.63,28.11,-17.49,0.378,rank_300_500
jump,18,0,17.39,0.0,17.39,,top_100
charlie,1,33,0.97,18.19,-17.23,0.0531,rank_300_500
thanks,25,74,24.15,40.79,-16.64,0.5921,rank_300_500
caves,19,4,18.36,2.21,16.15,8.3251,top_100
version,9,44,8.7,24.26,-15.56,0.3585,rank_300_500
koalefant,0,28,0.0,15.44,-15.44,0.0,rank_300_500
lua,29,23,28.02,12.68,15.34,2.2099,top_100
scripts,21,9,20.29,4.96,15.33,4.0895,top_100
someone,2,31,1.93,17.09,-15.16,0.1131,rank_300_500
should,14,52,13.53,28.67,-15.14,0.4719,rank_300_500
engineer,15,0,14.49,0.0,14.49,,top_100
koalefants,0,26,0.0,14.33,-14.33,0.0,rank_300_500
default,8,40,7.73,22.05,-14.32,0.3505,rank_300_500
love,24,68,23.19,37.49,-14.3,0.6186,rank_300_500
method,18,8,17.39,4.41,12.98,3.9435,top_100
tradu,0,23,0.0,12.68,-12.68,0.0,rank_300_500
box,17,7,16.43,3.86,12.57,4.2565,top_100
grid,3,28,2.9,15.44,-12.54,0.1878,rank_300_500
being,6,33,5.8,18.19,-12.39,0.3187,rank_300_500
items,12,43,11.59,23.7,-12.11,0.4891,rank_300_500
salt,13,1,12.56,0.55,12.01,22.7845,top_100
working,30,31,28.99,17.09,11.9,1.6961,top_100
help,6,32,5.8,17.64,-11.84,0.3286,rank_300_500
sanity,1,23,0.97,12.68,-11.71,0.0762,rank_300_500
other,21,58,20.29,31.97,-11.68,0.6346,rank_300_500
open,16,7,15.46,3.86,11.6,4.0061,top_100
think,12,42,11.59,23.15,-11.56,0.5008,rank_300_500
add,32,77,30.92,42.45,-11.53,0.7284,rank_300_500
skill,13,2,12.56,1.1,11.46,11.3923,top_100
take,7,33,6.76,18.19,-11.43,0.3718,rank_300_500
toggle,3,26,2.9,14.33,-11.43,0.2022,rank_300_500
change,14,45,13.53,24.81,-11.28,0.5453,rank_300_500
item,4,27,3.86,14.88,-11.02,0.2597,rank_300_500
something,12,41,11.59,22.6,-11.01,0.513,rank_300_500
night,3,25,2.9,13.78,-10.88,0.2103,rank_300_500
use,22,58,21.26,31.97,-10.72,0.6648,rank_300_500
issue,24,23,23.19,12.68,10.51,1.8289,top_100
cute,0,19,0.0,10.47,-10.47,0.0,rank_300_500
error,18,13,17.39,7.17,10.22,2.4268,top_100
health,14,6,13.53,3.31,10.22,4.0895,top_100
people,2,22,1.93,12.13,-10.2,0.1593,rank_300_500
don't,26,64,25.12,35.28,-10.16,0.712,rank_300_500
components,11,1,10.63,0.55,10.08,19.2792,top_100
medal,11,1,10.63,0.55,10.08,19.2792,top_100
know,21,55,20.29,30.32,-10.03,0.6692,rank_300_500
fn,12,3,11.59,1.65,9.94,7.0106,top_100
idea,4,25,3.86,13.78,-9.92,0.2804,rank_300_500
baby,0,18,0.0,9.92,-9.92,0.0,rank_300_500
dropping,0,18,0.0,9.92,-9.92,0.0,rank_300_500
na,0,18,0.0,9.92,-9.92,0.0,rank_300_500
wx,13,5,12.56,2.76,9.8,4.5569,top_100
