token,dominant_group,top_100_comment_count,rank_300_500_comment_count,top_100_comments_per_1000,rank_300_500_comments_per_1000,comments_per_1000_diff,rate_ratio
good,top_100,82,70,79.23,38.59,40.64,2.0531
bug,top_100,63,44,60.87,24.26,36.61,2.5095
make,rank_300_500,28,110,27.05,60.64,-33.59,0.4461
like,rank_300_500,41,132,39.61,72.77,-33.15,0.5444
drop,rank_300_500,3,57,2.9,31.42,-28.52,0.0922
she,rank_300_500,1,43,0.97,23.7,-22.74,0.0408
marble,rank_300_500,0,39,0.0,21.5,-21.5,0.0
time,rank_300_500,19,72,18.36,39.69,-21.33,0.4625
show,top_100,26,7,25.12,3.86,21.26,6.5099
character,rank_300_500,11,51,10.63,28.11,-17.49,0.378
jump,top_100,18,0,17.39,0.0,17.39,
charlie,rank_300_500,1,33,0.97,18.19,-17.23,0.0531
thanks,rank_300_500,25,74,24.15,40.79,-16.64,0.5921
caves,top_100,19,4,18.36,2.21,16.15,8.3251
version,rank_300_500,9,44,8.7,24.26,-15.56,0.3585
koalefant,rank_300_500,0,28,0.0,15.44,-15.44,0.0
lua,top_100,29,23,28.02,12.68,15.34,2.2099
scripts,top_100,21,9,20.29,4.96,15.33,4.0895
someone,rank_300_500,2,31,1.93,17.09,-15.16,0.1131
should,rank_300_500,14,52,13.53,28.67,-15.14,0.4719
engineer,top_100,15,0,14.49,0.0,14.49,
koalefants,rank_300_500,0,26,0.0,14.33,-14.33,0.0
default,rank_300_500,8,40,7.73,22.05,-14.32,0.3505
love,rank_300_500,24,68,23.19,37.49,-14.3,0.6186
method,top_100,18,8,17.39,4.41,12.98,3.9435
tradu,rank_300_500,0,23,0.0,12.68,-12.68,0.0
box,top_100,17,7,16.43,3.86,12.57,4.2565
grid,rank_300_500,3,28,2.9,15.44,-12.54,0.1878
being,rank_300_500,6,33,5.8,18.19,-12.39,0.3187
items,rank_300_500,12,43,11.59,23.7,-12.11,0.4891
salt,top_100,13,1,12.56,0.55,12.01,22.7845
working,top_100,30,31,28.99,17.09,11.9,1.6961
open,top_100,16,7,15.46,3.86,11.6,4.0061
skill,top_100,13,2,12.56,1.1,11.46,11.3923
issue,top_100,24,23,23.19,12.68,10.51,1.8289
error,top_100,18,13,17.39,7.17,10.22,2.4268
health,top_100,14,6,13.53,3.31,10.22,4.0895
components,top_100,11,1,10.63,0.55,10.08,19.2792
medal,top_100,11,1,10.63,0.55,10.08,19.2792
fn,top_100,12,3,11.59,1.65,9.94,7.0106
